Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-05-15 00:00:00+01:00,1.3718926906585693,1.373049259185791,1.3650591373443604,1.372005581855774,0,0.0,0.0
2014-05-20 00:00:00+01:00,1.371328353881836,1.3714975118637085,1.368149995803833,1.3713847398757935,0,0.0,0.0
2014-05-30 00:00:00+01:00,1.360322117805481,1.365094542503357,1.359933614730835,1.360451579093933,0,0.0,0.0
2014-06-04 00:00:00+01:00,1.3621937036514282,1.3637503385543823,1.3601185083389282,1.3621008396148682,0,0.0,0.0
2014-06-09 00:00:00+01:00,1.3645356893539429,1.3669008016586304,1.3583265542984009,1.3642936944961548,0,0.0,0.0
2014-06-19 00:00:00+01:00,1.3591018915176392,1.3645002841949463,1.3585480451583862,1.3590649366378784,0,0.0,0.0
2014-06-24 00:00:00+01:00,1.360063076019287,1.362999439239502,1.3583818674087524,1.3601926565170288,0,0.0,0.0
2014-07-04 00:00:00+01:00,1.3609145879745483,1.3613035678863525,1.3586199283599854,1.3610072135925293,0,0.0,0.0
2014-07-09 00:00:00+01:00,1.361748456954956,1.3642005920410156,1.3602850437164307,1.3617113828659058,0,0.0,0.0
2014-07-14 00:00:00+01:00,1.3603591918945312,1.363999605178833,1.3598780632019043,1.360377550125122,0,0.0,0.0
2014-07-24 00:00:00+01:00,1.346203088760376,1.3485703468322754,1.3441762924194336,1.346293568611145,0,0.0,0.0
2014-07-29 00:00:00+01:00,1.3439054489135742,1.3443931341171265,1.3409894704818726,1.3439054489135742,0,0.0,0.0
2014-08-08 00:00:00+01:00,1.3360053300857544,1.3430101871490479,1.334507703781128,1.3358268737792969,0,0.0,0.0
2014-08-13 00:00:00+01:00,1.3365768194198608,1.3414806127548218,1.3345005512237549,1.3366124629974365,0,0.0,0.0
2014-08-18 00:00:00+01:00,1.3392080068588257,1.3400999307632446,1.3354896306991577,1.339046597480774,0,0.0,0.0
2014-08-28 00:00:00+01:00,1.3193308115005493,1.3218997716903687,1.316250205039978,1.319087266921997,0,0.0,0.0
2014-09-02 00:00:00+01:00,1.3131976127624512,1.3137307167053223,1.3111796379089355,1.3131976127624512,0,0.0,0.0
2014-09-12 00:00:00+01:00,1.2924739122390747,1.2960201501846313,1.2913206815719604,1.2923569679260254,0,0.0,0.0
2014-09-17 00:00:00+01:00,1.2959076166152954,1.2979999780654907,1.294089674949646,1.2959076166152954,0,0.0,0.0
